Row ID,Order ID,Product Name,Category,Sales,Quantity,Discount,Profit
1,CA-2024-829933,Notebook,Office Supplies,1880.74,3,0.4,336.76
2,CA-2023-200640,Monitor,Furniture,1502.44,4,0.0,390.23
3,CA-2019-609573,Bookcase,Technology,1935.44,2,0.4,462.05
4,CA-2023-811366,Bookcase,Office Supplies,1637.0,7,0.0,-260.63
5,CA-2020-863535,Laptop Stand,Furniture,1127.45,10,0.0,1.51
6,CA-2019-779417,Notebook,Technology,427.3,3,0.4,126.22
7,CA-2021-403050,Mouse,Technology,290.37,5,0.1,74.71
8,CA-2024-231436,Notebook,Office Supplies,571.74,6,0.4,-68.09
9,CA-2022-523793,Monitor,Technology,1459.57,7,0.3,166.11
10,CA-2024-237364,Monitor,Furniture,1670.7,6,0.2,-379.19
11,CA-2019-893990,Address Labels,Technology,235.19,5,0.3,-10.37
12,CA-2024-932794,Conference Table,Office Supplies,1892.26,7,0.3,-197.04
13,CA-2019-357101,Keyboard,Technology,1979.85,3,0.3,409.86
14,CA-2021-938907,Laptop Stand,Office Supplies,1655.75,5,0.4,-33.07
15,CA-2022-791437,Conference Table,Furniture,409.48,2,0.2,-23.81
16,CA-2020-797015,Notebook,Office Supplies,1140.45,5,0.2,384.04
17,CA-2024-593652,Binder,Furniture,1328.36,7,0.3,377.67
18,CA-2020-141485,Desk Lamp,Furniture,593.17,10,0.3,-33.73
19,CA-2023-703297,Paper Shredder,Technology,1847.56,3,0.0,543.8
20,CA-2021-110966,Monitor,Office Supplies,1658.3,3,0.1,165.8
21,CA-2021-623338,Storage Drawer,Furniture,1211.14,7,0.2,197.98
22,CA-2019-779639,Printer,Office Supplies,1347.37,5,0.1,-121.41
23,CA-2022-116099,Notebook,Furniture,1289.94,8,0.2,-320.5
24,CA-2022-450049,Monitor,Technology,1364.03,4,0.2,-294.26
25,CA-2023-243165,Conference Table,Office Supplies,938.09,2,0.1,260.47
26,CA-2022-117128,Bookcase,Office Supplies,941.95,6,0.0,-117.84
27,CA-2020-816469,Office Chair,Technology,1476.62,6,0.4,164.29
28,CA-2020-842851,Address Labels,Furniture,1047.15,4,0.2,123.99
29,CA-2023-856636,Monitor,Furniture,1778.96,3,0.3,394.9
30,CA-2021-143812,Paper Shredder,Furniture,1223.05,5,0.3,201.16
31,CA-2022-669522,Paper Shredder,Furniture,292.65,4,0.0,50.94
32,CA-2022-660771,Binder,Furniture,1442.88,3,0.0,455.06
33,CA-2020-388392,Keyboard,Office Supplies,39.88,4,0.0,-0.77
34,CA-2021-266737,Address Labels,Technology,1237.36,5,0.4,405.73
35,CA-2024-443148,Address Labels,Technology,1812.92,10,0.0,222.24
36,CA-2019-562953,Notebook,Technology,1683.16,1,0.4,-24.73
37,CA-2024-427991,Address Labels,Technology,693.74,3,0.1,-123.34
38,CA-2021-264071,Conference Table,Office Supplies,467.69,9,0.0,-2.57
39,CA-2023-927371,Monitor,Office Supplies,1764.9,9,0.0,569.75
40,CA-2022-965097,Notebook,Office Supplies,1009.77,9,0.4,97.22
41,CA-2020-556300,Monitor,Office Supplies,909.83,3,0.3,-63.72
42,CA-2020-303762,Desk Lamp,Technology,867.64,6,0.0,254.83
43,CA-2023-107045,Bookcase,Office Supplies,143.98,7,0.3,2.05
44,CA-2023-920273,Paper Shredder,Technology,459.15,4,0.0,125.91
45,CA-2023-535727,Notebook,Office Supplies,56.3,7,0.1,18.75
46,CA-2021-582601,Bookcase,Technology,48.73,4,0.3,5.36
47,CA-2021-837539,Desk Lamp,Office Supplies,1842.75,4,0.0,513.56
48,CA-2024-491101,Laptop Stand,Office Supplies,501.23,10,0.4,-74.33
49,CA-2019-948724,Conference Table,Furniture,1738.09,6,0.4,-41.41
50,CA-2020-583684,Office Chair,Technology,1422.48,1,0.4,265.23
51,CA-2019-719635,Laptop Stand,Technology,1462.52,8,0.0,252.03
52,CA-2020-650802,Conference Table,Office Supplies,501.82,2,0.3,60.83
53,CA-2019-742632,Paper Shredder,Office Supplies,1761.62,5,0.1,-352.9
54,CA-2019-416915,Notebook,Furniture,192.79,6,0.0,36.31
55,CA-2021-257645,Printer,Office Supplies,308.77,9,0.0,89.86
56,CA-2020-167934,Laptop Stand,Technology,1415.31,8,0.1,476.13
57,CA-2020-289358,Laptop Stand,Technology,595.26,5,0.3,150.21
58,CA-2020-657836,Office Chair,Technology,632.61,4,0.0,-150.85
59,CA-2022-137168,Keyboard,Office Supplies,1932.8,4,0.3,221.76
60,CA-2021-564687,Monitor,Furniture,163.38,9,0.0,-28.52
61,CA-2022-546172,Paper Shredder,Furniture,887.7,1,0.2,193.31
62,CA-2023-173725,Paper Shredder,Furniture,716.44,10,0.1,24.26
63,CA-2023-932758,Laptop Stand,Furniture,611.32,1,0.3,212.17
64,CA-2022-629076,Address Labels,Technology,1175.75,5,0.4,60.69
65,CA-2023-280405,Binder,Office Supplies,289.41,2,0.2,13.1
66,CA-2019-321870,Storage Drawer,Furniture,631.59,4,0.0,-44.42
67,CA-2021-460371,Desk Accessories,Office Supplies,1236.67,3,0.0,-276.41
68,CA-2020-882815,Printer,Furniture,666.21,5,0.2,60.58
69,CA-2019-763548,Mouse,Office Supplies,1686.92,7,0.3,-308.18
70,CA-2024-810369,Keyboard,Furniture,551.07,8,0.2,-79.32
71,CA-2024-124034,Paper Shredder,Office Supplies,832.13,4,0.3,-152.67
72,CA-2019-334268,Desk Accessories,Furniture,1678.47,4,0.2,177.39
73,CA-2020-680012,Printer,Technology,1872.4,7,0.2,53.87
74,CA-2023-182514,Conference Table,Furniture,1104.97,6,0.4,377.04
75,CA-2021-604398,Conference Table,Technology,326.95,4,0.2,-74.56
76,CA-2022-437396,Paper Shredder,Furniture,1270.81,8,0.2,148.19
77,CA-2021-269013,Address Labels,Technology,610.02,6,0.4,102.8
78,CA-2019-887968,Mouse,Office Supplies,1908.15,6,0.1,-46.3
79,CA-2023-213069,Conference Table,Office Supplies,197.52,2,0.3,43.73
80,CA-2019-588378,Bookcase,Technology,1559.15,9,0.4,-185.07
81,CA-2020-998220,Address Labels,Office Supplies,1722.22,9,0.1,438.6
82,CA-2019-289666,Laptop Stand,Office Supplies,1869.74,7,0.1,-299.23
83,CA-2024-220120,Keyboard,Furniture,1046.62,10,0.2,-137.94
84,CA-2022-946271,Bookcase,Furniture,787.73,2,0.1,-115.19
85,CA-2019-959418,Conference Table,Office Supplies,1184.31,2,0.4,110.66
86,CA-2023-769926,Keyboard,Office Supplies,563.86,10,0.4,47.04
87,CA-2024-196567,Keyboard,Technology,236.18,7,0.0,28.81
88,CA-2019-214528,Laptop Stand,Technology,999.61,1,0.4,-192.84
89,CA-2022-895898,Mouse,Technology,1561.51,2,0.1,376.75
90,CA-2019-678725,Office Chair,Technology,616.53,9,0.2,-99.78
91,CA-2024-251690,Monitor,Furniture,914.3,1,0.2,169.23
92,CA-2020-509056,Laptop Stand,Office Supplies,1408.15,9,0.2,-65.17
93,CA-2020-761623,Address Labels,Furniture,887.67,10,0.3,-93.69
94,CA-2019-428666,Printer,Technology,57.84,5,0.2,-1.74
95,CA-2020-272395,Keyboard,Furniture,178.47,8,0.3,28.12
96,CA-2019-193262,Desk Lamp,Furniture,1387.4,1,0.4,-285.08
97,CA-2019-778351,Desk Lamp,Office Supplies,579.97,2,0.0,32.65
98,CA-2022-377275,Mouse,Technology,1572.09,8,0.1,115.45
99,CA-2024-471145,Paper Shredder,Office Supplies,752.19,10,0.3,153.87
100,CA-2020-516114,Bookcase,Furniture,392.45,9,0.2,59.13
